acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
6566498,2022-04-17T16:40:00Z,2022-04-18T06:36:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงหมายเลข 35 (กม.ที่ 46+300) - เมืองสมุทรสงคราม (ตอนสมุทรสาคร),motorcycle,driving under the influence of alcohol,other,2,0,2,clear,13.485453,100.088854,straight road,no slope
6566505,2022-04-17T17:00:00Z,2022-04-18T14:31:00Z,ปทุมธานี,Pathum Thani,department of rural roads,แยกทางหลวงหมายเลข 305 (กม.ที่ 26+350) - เลียบคลอง 11 ฝั่งตะวันตก,motorcycle,driving under the influence of alcohol,other,1,0,1,rainy,14.095034,100.84609,straight road,no slope
6950237,2022-04-17T19:20:00Z,2022-09-21T11:01:00Z,นนทบุรี,Nonthaburi,department of highways,คลองบางไผ่ - คลองบางหลวง,private/passenger car,cutting in closely by people/vehicles/animals,rear-end collision,2,0,1,clear,13.93353611,100.4160717,straight road,no slope
6115506,2022-04-17T19:30:00Z,2022-04-18T06:43:00Z,ปทุมธานี,Pathum Thani,department of highways,วัดนาบุญ - คลอง 14,private/passenger car,speeding,rear-end collision,3,0,0,clear,14.06181637,100.8500263,straight road,no slope
7414760,2022-04-17T20:45:00Z,2022-11-29T13:47:00Z,สมุทรปราการ,Samut Prakan,department of highways,บางตำหรุ - คลองด่าน,motorcycle,speeding,rear-end collision,2,0,0,clear,13.50957569,100.711112,straight road,no slope
7560785,2022-04-17T20:50:00Z,2023-01-16T13:57:00Z,กรุงเทพมหานคร,Bangkok,department of highways,ดินแดง - งามวงศ์วาน,private/passenger car,speeding,rear-end collision,3,0,0,clear,13.77459739,100.5538801,straight road,no slope
6122041,2022-04-17T21:30:00Z,2022-04-19T10:13:00Z,กรุงเทพมหานคร,Bangkok,department of highways,งามวงศ์วาน - ดอนเมือง,motorcycle,speeding,rear-end collision,2,0,2,clear,13.91263598,100.5973568,straight road,no slope
7007789,2022-04-18T06:00:00Z,2022-09-30T10:51:00Z,สมุทรสาคร,Samut Sakhon,department of highways,บ้านบ่อ - พระประโทน,4-wheel pickup truck,speeding,rollover/fallen on straight road,1,0,0,clear,13.64166781,100.0919643,other,other
6566519,2022-04-18T09:47:00Z,2022-04-19T08:53:00Z,นนทบุรี,Nonthaburi,department of rural roads,ถนนราชพฤกษ์,6-wheel truck,speeding,other,1,1,0,clear,13.888076,100.450259,straight road,no slope
6679633,2022-04-18T11:00:00Z,2022-08-08T08:50:00Z,กรุงเทพมหานคร,Bangkok,department of highways,แขวงรามอินทรา - บางพลี,6-wheel truck,speeding,rear-end collision,2,0,0,clear,13.81344921,100.6774369,straight road,no slope
